clientId,numPerson,cost,reqTime,checkOut
0122,3,542,22,4
0123,7,650,9,2
0124,5,653,7,4
0125,9,100,44,1
0126,3,413,35,3
0127,7,194,35,4
0128,8,869,22,4
0129,6,599,28,2
0130,8,599,42,5
0131,5,532,25,5
0132,2,142,36,2
0133,1,447,30,5
0134,9,541,33,1
0135,9,947,43,1
0136,4,65,47,2
0137,8,858,45,5
0138,2,484,20,5
0139,7,540,8,1
0140,6,584,21,3
0141,8,484,30,2
0142,10,384,2,1
0143,8,55,3,4
0144,2,843,44,5
0145,10,291,29,1
0146,7,156,41,2
0147,1,816,44,2
0148,2,859,29,2
0149,10,439,8,3
0150,3,469,29,4
0151,9,505,14,4
0152,1,357,41,5
0153,2,253,7,1
0154,7,547,47,3
0155,1,429,31,4
0156,10,730,42,1
0157,6,966,13,1
0158,9,366,45,5
0159,9,437,24,1
0160,8,672,7,1
0161,9,88,11,4
0162,8,871,43,2
0163,9,440,4,3
0164,5,904,21,2
0165,7,481,50,2
0166,8,376,21,5
0167,3,965,10,2
0168,7,228,36,5
0169,4,113,4,4
0170,4,535,4,1
0171,1,706,4,1
0172,7,515,42,1
0173,5,356,38,4
0174,5,983,32,4
0175,2,500,14,5
0176,2,401,49,5
0177,10,967,18,1
0178,1,97,36,4
0179,7,283,21,3
0180,8,160,43,5
0181,5,943,10,2
0182,9,248,34,4
0183,2,613,34,3
0184,1,158,30,3
0185,7,479,9,5
0186,6,895,27,3
0187,7,525,33,5
0188,9,587,2,4
0189,6,798,4,1
0190,9,522,9,4
0191,4,586,8,1
0192,6,249,38,2
0193,6,860,38,2
0194,4,150,22,1
0195,7,244,30,4
0196,4,394,8,5
0197,1,192,39,2
0198,1,716,22,1
0199,9,991,44,3
0200,5,415,5,3
0201,8,687,35,4
0202,9,682,4,5
0203,4,407,3,5
0204,1,96,24,4
0205,2,466,38,4
0206,2,52,34,4
0207,5,114,40,1
0208,5,824,7,1
0209,7,110,18,2
0210,10,850,7,4
0211,10,823,39,1
0212,7,919,28,4
0213,5,909,44,5
0214,4,736,10,5
0215,2,951,27,3
0216,10,982,41,5
0217,3,724,46,2
0218,9,950,4,4
0219,10,970,44,5
0220,2,259,45,3
0221,7,159,9,4
0222,4,998,3,3
0223,2,555,24,1
0224,5,414,36,1
0225,7,132,25,5
0226,5,403,39,4
0227,3,920,17,1
0228,6,348,1,2
0229,10,167,48,1
0230,9,991,44,2
0231,2,690,31,1
0232,8,775,15,2
0233,4,358,48,3
0234,1,516,35,3
0235,8,541,47,3
0236,4,70,41,3
0237,6,150,47,1
0238,1,348,29,2
0239,9,254,6,5
0240,8,523,17,3
0241,4,257,33,3
0242,9,771,1,4
0243,3,748,27,4
0244,10,773,26,1
0245,7,277,18,5
0246,6,677,49,3
0247,3,717,29,1
0248,6,389,30,4
0249,7,224,44,3
0250,3,179,25,2
0251,3,77,18,1
0252,4,229,10,3
0253,1,674,9,5
0254,5,609,19,5
0255,8,789,47,3
0256,3,307,45,3
0257,7,772,3,4
0258,7,762,27,4
0259,6,305,32,1
0260,7,876,18,4
0261,1,918,38,5
0262,6,54,8,1
0263,3,370,20,3
0264,1,549,13,5
0265,8,787,48,5
0266,5,339,13,3
0267,1,248,43,4
0268,3,677,46,5
0269,1,601,28,4
0270,9,821,9,2
0271,2,588,4,1
0272,2,504,24,5
0273,7,346,17,1
0274,10,861,12,2
0275,3,316,21,5
0276,8,696,4,1
0277,10,608,14,5
0278,2,115,19,2
0279,2,908,32,1
0280,2,545,24,5
0281,3,96,21,2
0282,7,855,45,2
0283,5,807,11,3
0284,6,813,43,4
0285,6,517,20,3
0286,7,129,48,3
0287,7,870,13,2
0288,8,327,20,5
0289,10,198,35,2
0290,7,504,2,4
0291,4,169,49,2
0292,4,666,10,4
0293,5,442,12,2
0294,3,938,6,4
0295,4,324,27,3
0296,6,144,16,4
0297,10,278,9,1
0298,7,382,40,5
0299,4,144,37,3
0300,3,420,15,1
0301,2,478,31,5
0302,5,710,29,4
0303,3,119,16,4
0304,10,64,33,5
0305,3,428,5,5
0306,8,507,2,3
0307,5,740,28,3
0308,1,363,37,2
0309,3,94,21,5
0310,4,554,7,2
0311,7,653,28,3
0312,8,726,33,5
0313,2,999,29,1
0314,10,144,48,4
0315,8,730,6,1
0316,7,757,4,3
0317,2,701,12,5
0318,7,718,35,4
0319,1,977,47,2
0320,7,524,12,5
0321,5,981,43,4
0322,8,656,12,3
0323,2,87,6,2
0324,3,209,15,2
0325,10,508,43,4
0326,2,184,15,4
0327,4,794,44,4
0328,2,844,17,4
0329,9,904,22,5
0330,2,880,21,2
0331,10,938,19,3
0332,1,613,48,1
0333,4,134,41,1
0334,7,902,35,5
0335,8,669,22,2
0336,2,350,12,5
0337,1,363,38,4
0338,2,901,1,3
0339,3,278,20,2
0340,5,342,12,1
0341,6,333,29,2
0342,10,318,1,2
0343,8,666,7,3
0344,9,390,25,1
0345,1,219,3,2
0346,6,498,30,2
0347,4,618,18,5
0348,4,899,28,1
0349,3,985,37,1
0350,4,760,37,1
0351,7,131,20,5
0352,2,134,28,3
0353,5,996,19,5
0354,8,133,13,1
0355,3,927,1,5
0356,8,333,46,3
0357,1,546,28,1
0358,7,691,11,3
0359,3,839,28,2
0360,3,176,36,2
0361,7,947,20,4
0362,1,230,31,5
0363,9,861,40,5
0364,7,466,6,3
0365,1,804,23,3
0366,3,55,20,5
0367,1,769,42,4
0368,2,424,4,3
0369,9,541,45,2
0370,8,419,10,1
0371,9,68,43,4
0372,10,783,47,1
0373,7,757,47,1
0374,2,339,10,1
0375,8,258,12,5
0376,7,413,22,3
0377,9,904,30,4
0378,10,637,16,4
0379,9,745,45,2
0380,7,788,25,2
0381,2,417,12,4
0382,5,685,47,4
0383,5,940,44,4
0384,2,561,6,2
0385,8,388,19,2
0386,8,618,25,3
0387,3,724,30,1
0388,9,115,14,3
0389,7,478,47,4
0390,7,258,3,5
0391,3,85,9,5
0392,6,341,43,3
0393,5,890,50,2
0394,8,442,18,5
0395,3,331,14,2
0396,9,578,48,1
0397,3,720,6,4
0398,5,64,3,4
0399,2,467,22,5
0400,6,585,1,2
0401,3,536,40,5
0402,1,244,25,2
0403,5,471,4,1
0404,6,852,35,1
0405,1,846,5,2
0406,5,682,45,5
0407,2,846,32,4
0408,6,485,16,4
0409,3,131,32,5
0410,5,932,14,1
0411,8,848,7,3
0412,4,309,25,1
0413,4,581,4,2
0414,10,621,50,3
0415,8,561,19,3
0416,2,136,50,1
0417,7,966,21,5
0418,1,220,39,1
0419,2,491,23,5
0420,3,712,4,5
0421,9,71,35,2
0422,7,907,16,3
0423,5,524,38,2
0424,6,673,6,5
0425,10,713,28,2
0426,3,870,50,4
0427,10,222,15,5
0428,10,864,22,5
0429,2,612,3,2
0430,5,864,50,5
0431,7,376,10,1
0432,8,922,40,2
0433,6,935,43,5
0434,5,838,28,4
0435,7,719,15,4
0436,5,519,15,5
0437,4,208,13,3
0438,3,838,26,5
0439,3,721,18,3
0440,4,551,6,5
0441,6,257,22,1
0442,8,890,40,3
0443,3,415,14,3
0444,4,388,9,2
0445,1,642,13,4
0446,2,471,42,4
0447,3,484,34,2
0448,5,246,24,1
0449,4,665,49,2
0450,8,849,24,2
0451,2,807,22,1
0452,7,324,21,5
0453,1,711,1,5
0454,8,997,9,5
0455,8,797,20,4
0456,7,762,49,3
0457,3,155,30,5
0458,10,593,19,1
0459,4,156,33,1
0460,3,542,29,2
0461,8,302,18,5
0462,3,545,48,4
0463,3,632,12,5
0464,4,129,46,5
0465,8,159,20,2
0466,7,618,26,1
0467,1,237,30,5
0468,10,197,39,3
0469,4,820,22,5
0470,8,887,35,1
0471,3,183,16,2
0472,7,223,36,5
0473,8,828,23,5
0474,10,450,17,5
0475,7,912,40,2
0476,3,735,7,2
0477,8,91,47,1
0478,6,871,48,2
0479,8,656,19,1
0480,6,321,33,5
0481,4,92,13,1
0482,6,424,30,4
0483,6,836,47,2
0484,4,563,47,1
0485,2,522,32,2
0486,5,597,27,1
0487,5,69,30,2
0488,7,398,40,2
0489,8,1000,49,4
0490,3,842,9,2
0491,10,781,48,2
0492,4,681,4,1
0493,6,247,20,3
0494,7,387,13,3
0495,8,280,48,3
0496,8,604,48,1
0497,5,664,47,2
0498,10,494,27,5
0499,5,141,8,1
